id,branch,name,category,portion,price,serves
1,1,Cheeseburger,Burger,Single,120,1
2,1,Veggie Burger,Burger,Single,100,1
3,1,Chicken Sandwich,Sandwich,Regular,110,1
4,1,French Fries,Sides,Medium,50,1
5,1,Onion Rings,Sides,Small,40,1
6,1,Coke,Beverage,500ml,30,1
7,1,Pepsi,Beverage,500ml,30,1
8,2,Margherita Pizza,Pizza,Medium,200,2
9,2,Pepperoni Pizza,Pizza,Large,300,3
10,2,Veggie Pizza,Pizza,Medium,220,2
11,2,Chicken Wings,Appetizer,6 pcs,150,1
12,2,Garlic Bread,Appetizer,4 pcs,70,1
13,2,Lemonade,Beverage,300ml,35,1
14,2,Iced Tea,Beverage,300ml,35,1
15,3,Pasta Alfredo,Pasta,Regular,180,1
16,3,Pasta Bolognese,Pasta,Regular,190,1
17,3,Spaghetti Carbonara,Pasta,Regular,200,1
18,3,Caesar Salad,Salad,Large,150,1
19,3,Greek Salad,Salad,Medium,130,1
20,3,Water,Beverage,500ml,20,1
21,1,Chocolate Cake,Dessert,Slice,80,1
22,1,Ice Cream,Dessert,Single Scoop,60,1
23,2,Brownie,Dessert,Single,70,1
24,2,Cheesecake,Dessert,Slice,90,1
25,3,Smoothie,Beverage,300ml,60,1
26,3,Fruit Juice,Beverage,300ml,50,1
27,1,Chicken Nuggets,Sides,6 pcs,70,1
28,2,Mozzarella Sticks,Sides,6 pcs,80,1
29,3,Tiramisu,Dessert,Slice,100,1
30,3,Garlic Pasta,Pasta,Regular,170,1
31,1,Grilled Chicken,Main,Regular,220,1
32,1,Beef Steak,Main,Large,350,2
33,1,Veg Sandwich,Sandwich,Regular,90,1
34,1,Mashed Potato,Sides,Medium,60,1
35,1,Coleslaw,Salad,Small,40,1
36,1,Milkshake,Beverage,300ml,50,1
37,1,Hot Chocolate,Beverage,250ml,45,1
38,2,BBQ Chicken Pizza,Pizza,Large,320,3
39,2,Hawaiian Pizza,Pizza,Medium,280,2
40,2,Veggie Delight Pizza,Pizza,Small,180,1
41,2,Buffalo Wings,Appetizer,8 pcs,180,1
42,2,Stuffed Mushrooms,Appetizer,6 pcs,100,1
43,2,Orange Juice,Beverage,300ml,40,1
44,2,Green Tea,Beverage,250ml,35,1
45,3,Fettuccine Alfredo,Pasta,Regular,190,1
46,3,Lasagna,Pasta,Regular,210,1
47,3,Spaghetti Napoli,Pasta,Regular,180,1
48,3,Greek Yogurt Salad,Salad,Medium,120,1
49,3,Caprese Salad,Salad,Medium,140,1
50,3,Sparkling Water,Beverage,500ml,25,1
51,1,Brownie Sundae,Dessert,Single,85,1
52,1,Fruit Tart,Dessert,Slice,75,1
53,2,Chocolate Mousse,Dessert,Cup,80,1
54,2,Apple Pie,Dessert,Slice,70,1
55,3,Berry Smoothie,Beverage,300ml,65,1
56,3,Pineapple Juice,Beverage,300ml,55,1
57,1,Fish Fingers,Sides,6 pcs,90,1
58,2,Cheese Balls,Sides,6 pcs,85,1
59,3,Chocolate Lava Cake,Dessert,Slice,110,1
60,3,Pesto Pasta,Pasta,Regular,175,1
61,1,Grilled Veggie Wrap,Sandwich,Regular,95,1
62,1,Chicken Wrap,Sandwich,Regular,120,1
63,1,Loaded Nachos,Appetizer,Large,150,2
64,1,Cheese Fries,Sides,Medium,65,1
65,1,Mozzarella Pizza Slice,Pizza,Single,80,1
66,1,Strawberry Milkshake,Beverage,300ml,55,1
67,1,Vanilla Milkshake,Beverage,300ml,50,1
68,2,Chicken BBQ Pizza,Pizza,Medium,290,2
69,2,Four Cheese Pizza,Pizza,Large,320,3
70,2,Veggie Supreme Pizza,Pizza,Medium,250,2
71,2,Potato Wedges,Sides,Medium,60,1
72,2,Chicken Tenders,Sides,6 pcs,140,1
73,2,Mango Juice,Beverage,300ml,45,1
74,2,Cappuccino,Beverage,250ml,60,1
75,3,Ravioli,Pasta,Regular,200,1
76,3,Mac and Cheese,Pasta,Regular,180,1
77,3,Spinach Alfredo Pasta,Pasta,Regular,190,1
78,3,Mixed Green Salad,Salad,Medium,130,1
79,3,Caesar Chicken Salad,Salad,Large,160,1
80,3,Herbal Tea,Beverage,250ml,30,1
81,1,Cupcake,Dessert,Single,50,1
82,1,Carrot Cake,Dessert,Slice,80,1
83,2,Lemon Tart,Dessert,Slice,75,1
84,2,Panna Cotta,Dessert,Cup,85,1
85,3,Banana Smoothie,Beverage,300ml,60,1
86,3,Orange Smoothie,Beverage,300ml,60,1
87,1,Veg Spring Rolls,Appetizer,4 pcs,70,1
88,2,Chicken Spring Rolls,Appetizer,4 pcs,90,1
89,3,Chocolate Brownie,Dessert,Slice,95,1
90,3,Spaghetti Pesto,Pasta,Regular,180,1
91,1,Buffalo Chicken Wrap,Sandwich,Regular,130,1
92,1,Veggie Quesadilla,Sandwich,Regular,110,1
93,1,Cheese Nachos,Appetizer,Large,140,2
94,1,Potato Skins,Sides,6 pcs,75,1
95,1,Mini Margherita Pizza,Pizza,Single,90,1
96,1,Oreo Milkshake,Beverage,300ml,60,1
97,1,Strawberry Smoothie,Beverage,300ml,55,1
98,2,Pepperoni Feast Pizza,Pizza,Large,330,3
99,2,Veggie Fiesta Pizza,Pizza,Medium,260,2
100,2,Chicken Supreme Pizza,Pizza,Medium,310,2
101,2,Onion Rings Basket,Sides,Large,80,1
102,2,Buffalo Chicken Wings,Appetizer,8 pcs,190,1
103,2,Pineapple Smoothie,Beverage,300ml,55,1
104,2,Iced Latte,Beverage,250ml,60,1
105,3,Fettuccine Pesto,Pasta,Regular,185,1
106,3,Macaroni Bolognese,Pasta,Regular,190,1
107,3,Cheese Ravioli,Pasta,Regular,200,1
108,3,Quinoa Salad,Salad,Medium,140,1
109,3,Chicken Caesar Salad,Salad,Large,170,1
110,3,Chamomile Tea,Beverage,250ml,30,1
111,1,Chocolate Muffin,Dessert,Single,55,1
112,1,Strawberry Tart,Dessert,Slice,75,1
113,2,Chocolate Cupcake,Dessert,Single,60,1
114,2,Vanilla Pudding,Dessert,Cup,70,1
115,3,Mango Smoothie,Beverage,300ml,60,1
116,3,Berry Juice,Beverage,300ml,55,1
117,1,Veggie Spring Rolls,Appetizer,4 pcs,65,1
118,2,Chicken Fingers,Appetizer,6 pcs,120,1
119,3,Chocolate Cheesecake,Dessert,Slice,100,1
120,3,Spaghetti Alfredo,Pasta,Regular,190,1
